"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
5629,"AT&T - DOGGIE DINNER - ROOM 5325 [145159]","24 WILLIE MAYS PLAZA 5.19.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
563,"HANG FOOK BAKERY & RESTAURANT","1325 OCEAN AVE ","San Francisco","CA","94112","37.723974","-122.456626","+14155335896"
5630,"AT&T - VENDING COMMISSARY RM5326 [145160]","24 WILLIE MAYS PLAZA 5.21.01","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5631,"AT&T -ROOM 5331 GILROY GARLIC FRIES/VIEW [145161]","24 WILLIE MAYS PLAZA 5.24.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5632,"AT&T - DOGGIE DINNER - RM 5333/V [145162]","24 WILLIE MAYS PLAZA 5.26.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5633,"AT&T - FIELD CLUB CONCESSION [145185]","24 WILLIE MAYS PLAZA 1.09.04  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5634,"AT&T - COMMISARY KITCHEN [145184]","24 WILLIE MAYS PLAZA 1.24.06  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5635,"AT&T - EMPLOYEE TRAINING RM F/L [145183]","24 WILLIE MAYS PLAZA 1.28.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5636,"AT&T - DRY STORAGE [145182]","24 WILLIE MAYS PLAZA 1.24.03  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5637,"AT&T -DOGGIE DINER/ ROOM 1144 [145169]","24 WILLIE MAYS PLAZA 1.50.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5638,"AT&T - CONCESSION GARLIC FRIES/ROOM 1145 [145170]","24 WILLIE MAYS PLAZA 1.64.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5639,"AT&T - DERBY GRILL ROOM 2103 [145171]","24 WILLIE MAYS PLAZA 2.01.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5640,"AT&T - ROOM 2106 GILROY GARLIC [145172]","24 WILLIE MAYS PLAZA 2.03.02  2106","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5641,"AT&T - DOGGIE DINER ROOM 2112 [145173]","24 WILLIE MAYS PLAZA 2.07.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5642,"AT&T - ROOM 2114 BUDWEISER [145174]","24 WILLIE MAYS PLAZA 2.09.03  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5643,"AT&T - GILROY GARLIC FRIES ROOM 2118 [145175]","24 WILLIE MAYS PLAZA 2.13.03  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5644,"AT&T - DOGGIE DINER ROOM 2121 [145176]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5645,"AT&T - SAY HEY SAUSAGE ROOM 2127 [145177]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5646,"AT&T -ROOM 2130 DERBY GRILL/PORT WALK PIZZA [145178]","24 WILLIE MAYS PL ","San Francisco","CA","94107","37.778382","-122.391151",""
5647,"AT&T - DOGGIE DINER ROOM 2134 [145179]","24 WILLIE MAYS PLAZA 2.28.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5648,"AT&T - VENDING ROOM [145180]","24 WILLIE MAYS PLAZA 2.29.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5649,"AT&T - DOGGIE-SAUSAGE-/ROOM 2142 [145181]","24 WILLIE MAYS PLAZA 2.50.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5650,"AT&T - DOGGIE DINER ROOM 3205 [145167]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5651,"AT&T - BON APPETIT ROOM 3209 [145168]","24 WILLIE MAYS PLAZA 3.05.03  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5652,"AT&T - STORE ROOM WALK-IN BOX [145166]","24 WILLIE MAYS PLAZA 3.10.07  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5653,"S. F. CHOWDER A CHILI CART","PIER 39","San Francisco","CA","94133","37.80824","-122.410189",""
5654,"S. F. GOURMET HOT DOG CART","PIER 39","San Francisco","CA","94133","37.80824","-122.410189",""
5655,"CP - TULLY'S COFFEE, L19","CANDLESTICK PARK  L19","San Francisco","CA","94124","37.712613","-122.387477",""
5656," HOL N JAM LEMONADE STAND #1"," CANDLESTICK PK MAIN LEVEL, SEC. 11-13","San Francisco","CA","94124","37.712613","-122.387477","+14158991048"
5657,"AT&T - CABLE CAR BAR (PROMENADE) [146520]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5658,"AT&T - CABLE CAR BAR (VIEW) [146519]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5659,"CP -  BEER CARTS, UL 17","CANDLESTICK PARK,  UL 17","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5660,"CP - GRILL CART #6, (PC 30)","CANDLESTICK PARK, UL 30","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5661,"AT&T - DIAMOND NUT ROASTING CART #1","24 WILLIE MAYS PL ","San Francisco","CA","94107",,,""
5662,"AT&T - DIAMOND NUT ROASTING CART #2","24 WILLIE MAYS PL ","San Francisco","CA","94107",,,""
5663,"CP - ROOM 323","CANDLESTICK PARK  323","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5664,"CP - ROOM D1-D2, STINKING ROSE","CANDLESTICK PARK  D1-2","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5665,"CP - PETE'S WICKED SUMMER BREW, UL 10","CANDLESTICK PARK,  UL 10","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5666,"CP - BEER CARTS"," CANDLESTICK PK UL, SEC. 53-55","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5667,"CP - MILLER BEER CARTS, U/L, SEC 3","CANDLESTICK PARK , UL 3","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5669,"CP - BEER CARTS, MN LV, SEC.43-45","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
567,"SAN FRANCISCO SOUP COMPANY","1 MARKET ST ","San Francisco","CA","94105","37.794347","-122.394932",""
5670," HOL N JAM LEMONADE STAND #3"," CANDLESTICK PK MAIN LEVEL, SEC. 20-22","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5672,"CP - BEER CART, U/L, SEC.24","CANDLESTICK PARK , UL 24","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5673,"CP - BEER CARTS , L34","CANDLESTICK PARK,  L34","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5674,"CP - BEER CARTS"," CANDLESTICK PK UL, SEC. 53-55","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5675,"CP - BEER CARTS MN LV","CANDLESTICK PARK  19-21","San Francisco","CA","94124","37.786638","-122.480983","+14155468570"
5677,"CP - CURLEY GRIEVE PRESS ROOM","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155332424"
5678,"CP - EXTRA POINT BAR","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5679,"CP - MAIN COMMISSARY","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5680,"CP - SUTTER'S GRILL","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
5681,"CP - PRESS CLUB (UP LV)","CANDLESTICK PARK  4 LEV","San Francisco","CA","94124","37.712613","-122.387477","+14155332424"
5682,"CP - ROOM 139","CANDLESTICK PARK  139","San Francisco","CA","94124","37.712613","-122.387477","+14155468570"
