"business_id","Score","date","type"
239,"81","20110831","routine"
239,"76","20110419","routine"
239,"72","20101007","routine"
240,"65","20121213","routine"
240,"61","20120126","routine"
240,"82","20120110","routine"
240,"91","20110401","routine"
240,"94","20101020","routine"
247,"89","20121114","routine"
247,"96","20120328","routine"
247,"100","20110812","routine"
247,"100","20110214","routine"
247,"92","20100701","routine"
251,"88","20130315","routine"
251,"92","20120222","routine"
251,"88","20111005","routine"
251,"85","20110405","routine"
251,"98","20100726","routine"
253,"98","20130501","routine"
253,"98","20121009","routine"
253,"98","20111031","routine"
253,"94","20110412","routine"
253,"84","20100803","routine"
256,"98","20130319","routine"
256,"98","20111221","routine"
256,"90","20110126","routine"
257,"96","20130114","routine"
257,"94","20120702","routine"
257,"100","20111213","routine"
257,"96","20110412","routine"
257,"96","20100803","routine"
258,"94","20130405","routine"
258,"88","20120905","routine"
258,"94","20120130","routine"
258,"90","20110708","routine"
258,"81","20101103","routine"
260,"90","20121211","routine"
260,"90","20120621","routine"
260,"96","20111220","routine"
260,"90","20110628","routine"
260,"82","20100920","routine"
260,"82","20100520","routine"
264,"90","20121205","routine"
264,"88","20111110","routine"
264,"88","20110505","routine"
264,"94","20101201","routine"
267,"83","20120731","routine"
267,"69","20120112","routine"
267,"89","20110713","routine"
267,"94","20110211","routine"
267,"94","20100521","routine"
268,"89","20121203","routine"
268,"94","20120504","routine"
268,"96","20111121","routine"
268,"96","20110519","routine"
268,"89","20101208","routine"
272,"88","20121029","routine"
272,"87","20120405","routine"
272,"89","20111018","routine"
272,"90","20110511","routine"
272,"77","20101123","routine"
272,"88","20100708","routine"
273,"84","20121213","routine"
273,"82","20120405","routine"
273,"90","20110715","routine"
273,"70","20110202","routine"
273,"64","20100526","routine"
274,"88","20130130","routine"
274,"92","20120601","routine"
274,"90","20111019","routine"
274,"92","20110224","routine"
275,"87","20130424","routine"
275,"87","20120828","routine"
275,"90","20120131","routine"
275,"98","20111025","routine"
275,"89","20110415","routine"
275,"92","20100929","routine"
276,"100","20120808","routine"
276,"98","20120126","routine"
276,"96","20110719","routine"
276,"100","20110209","routine"
276,"100","20100616","routine"
279,"100","20121126","routine"
279,"94","20120322","routine"
279,"98","20110915","routine"
279,"98","20110318","routine"
279,"96","20100917","routine"
281,"96","20121017","routine"
281,"92","20120418","routine"
281,"98","20110921","routine"
281,"96","20110317","routine"
281,"93","20100902","routine"
283,"98","20120924","routine"
283,"94","20120221","routine"
283,"100","20110802","routine"
283,"100","20110222","routine"
283,"96","20100527","routine"
285,"100","20121207","routine"
285,"100","20120418","routine"
285,"98","20111012","routine"
285,"100","20110307","routine"
285,"98","20100607","routine"
286,"60","20130211","routine"
286,"73","20111212","routine"
286,"76","20110427","routine"
286,"66","20100723","routine"
290,"85","20121009","routine"
290,"91","20120330","routine"
290,"94","20110921","routine"
290,"96","20110223","routine"
290,"94","20100524","routine"
298,"94","20120914","routine"
298,"87","20120119","routine"
298,"90","20110708","routine"
298,"86","20110112","routine"
298,"78","20100831","routine"
299,"75","20121217","routine"
299,"83","20120619","routine"
299,"82","20120120","routine"
299,"94","20110713","routine"
299,"100","20110211","routine"
299,"98","20100812","routine"
300,"90","20130214","routine"
300,"94","20120625","routine"
300,"94","20111221","routine"
300,"94","20110601","routine"
300,"84","20101229","routine"
302,"94","20121210","routine"
302,"94","20120530","routine"
302,"94","20111110","routine"
302,"96","20110609","routine"
302,"96","20101222","routine"
302,"94","20100915","routine"
305,"96","20121203","routine"
305,"96","20120427","routine"
305,"96","20111121","routine"
305,"92","20110620","routine"
305,"89","20110121","routine"
305,"96","20100519","routine"
315,"92","20121207","routine"
315,"92","20120403","routine"
315,"90","20111007","routine"
315,"87","20110405","routine"
315,"82","20100728","routine"
318,"90","20121019","routine"
318,"92","20120410","routine"
318,"96","20111020","routine"
318,"81","20110322","routine"
318,"92","20101102","routine"
319,"92","20120801","routine"
319,"100","20120227","routine"
319,"98","20110801","routine"
319,"83","20110210","routine"
320,"82","20120925","routine"
320,"88","20120326","routine"
320,"94","20110929","routine"
320,"94","20110428","routine"
320,"91","20101102","routine"
323,"98","20121001","routine"
323,"98","20120319","routine"
323,"98","20110725","routine"
323,"98","20110223","routine"
323,"100","20100817","routine"
325,"83","20121017","routine"
325,"83","20120405","routine"
325,"84","20110907","routine"
325,"86","20110321","routine"
325,"69","20100722","routine"
326,"92","20130103","routine"
326,"81","20120514","routine"
326,"81","20111012","routine"
326,"74","20110228","routine"
326,"83","20100824","routine"
328,"90","20130422","routine"
328,"96","20120927","routine"
328,"96","20120327","routine"
328,"92","20111003","routine"
328,"90","20110503","routine"
328,"94","20101103","routine"
328,"94","20100617","routine"
332,"100","20130222","routine"
332,"100","20120810","routine"
332,"100","20120430","routine"
332,"100","20110810","routine"
332,"100","20110322","routine"
332,"100","20101013","routine"
335,"80","20121009","routine"
335,"82","20120507","routine"
335,"96","20111013","routine"
335,"90","20110301","routine"
335,"81","20101029","routine"
337,"86","20121116","routine"
337,"91","20120305","routine"
337,"88","20111006","routine"
337,"70","20110404","routine"
379,"91","20130329","routine"
379,"98","20120731","routine"
379,"85","20120222","routine"
379,"74","20110630","routine"
379,"78","20110218","routine"
